,name,price,old_price
0,boAt Bassheads 100 in Ear Wired Earphones with Mic(Furious Red),379.0,999.0
1,boAt Rockerz 255 Pro+ Bluetooth Wireless in Ear Earphones with Mic (Navy Blue),1499.0,3990.0
2,boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),379.0,999.0
3,boAt Bassheads 242 in Ear Wired Earphones with Mic(Carbon Black),499.0,1490.0
4,boAt Rockerz 370 Bluetooth Wireless On Ear Headphone with Mic (Buoyant Black),999.0,2499.0
5,"boAt Airdopes 121v2 True Wireless Earbuds with Upto 14 Hours Playback, Lightweight Earbuds, 8MM Drivers, LED Indicators and Multifunction Controls(Cherry Blossom)",1299.0,2990.0
6,boAt Bassheads 152 in Ear Wired Earphones with Mic(Active Black),449.0,1290.0
7,boAt Bassheads 100 in Ear Wired Earphones with mic(Mint Purple),399.0,999.0
8,"boAt Airdopes 181 True Wireless Earbuds with ENx™ Tech, Beast™ Mode(Low Latency Upto 60ms) for Gaming, ASAP™ Charge, 20H Playtime, Bluetooth v5.2, boAt Signature Sound, IPX4 & IWP™(Carbon Black)",1799.0,2990.0
9,"boAt Rockerz 255 in-Ear Earphones with 8 Hours Battery, IPX5, Bluetooth V5.0 and Voice Assistant(Neon Green)",1199.0,2990.0
10,"boAt Rockerz 255 in-Ear Earphones with 8 Hours Battery, IPX5, Bluetooth V5.0 and Voice Assistant(Ocean Blue)",1199.0,2990.0
11,boAt Bassheads 100 in Ear Wired Earphones with Mic(White),379.0,999.0
12,boAt Airdopes 441 Bluetooth Truly Wireless in Ear Earbuds with Mic (Active Black),1999.0,5999.0
13,boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Mic Ocean Blue,899.0,2490.0
14,"boAt Rockerz 255 Pro in-Ear Earphones with 10 Hours Battery, ASAP Charge, IPX5, Bluetooth V5.0 and Voice Assistant(Navy Blue)",1299.0,3499.0
15,boAt Bassheads 242 in Ear Wired Earphones with Mic(Blue),499.0,1490.0
16,boAt Rockerz 255 Pro Bluetooth Wireless in Ear Earphones with Mic Active Black,1299.0,3499.0
17,boAt Rockerz 550 Bluetooth Wireless Over Ear Headphone with Mic (Black),1899.0,4999.0
18,boAt Bassheads 152 in Ear Wired Earphones with Mic(Jazzy Blue),449.0,1290.0
19,boAt Bassheads 100 in Ear Wired Earphones with mic(Mint Green),379.0,999.0
20,boAt Bassheads 225 in Ear Wired Earphones with Mic(Blue),499.0,999.0
21,boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Mic Teal Green,899.0,2490.0
22,boAt Rockerz 510 Wireless Bluetooth On Ear Headphones with Mic (Raging Red),1499.0,3990.0
23,boAt Rockerz 245v2 Bluetooth Wireless in Ear Earphones with Mic Navy Blue,899.0,2490.0
24,boAt Rockerz 450 Pro Bluetooth Wireless On Ear Headphones with Mic (Luscious Black),1499.0,3990.0
25,"boAt Airdopes 181 True Wireless Earbuds with ENx™ Tech, Beast™ Mode(Low Latency Upto 60ms) for Gaming, ASAP™ Charge, 20H Playtime, Bluetooth v5.2, boAt Signature Sound, IPX4 & IWP™(Spirit White)",1799.0,2990.0
26,boAt Rockerz 450 Pro Bluetooth Wireless On Ear Headphones with Mic (Aqua Blue),1499.0,3990.0
27,boAt Rockerz 550 Bluetooth Wireless Over Ear Headphone with Mic (Black Symphony),1899.0,4999.0
28,boAt Bassheads 242 in Ear Wired Earphones with Mic(Neon Green),499.0,1490.0
29,boAt Bassheads 102 in Ear Wired Earphones with Mic(Fiery Red),349.0,1290.0
30,boAt 102 Bluetooth Wireless in Ear Earphones with Mic (Black),1099.0,1990.0
31,boAt Airdopes 171 Bluetooth Truly Wireless in Ear Earbuds with Mic (Active Black),1699.0,5999.0
32,boAt Bassheads 242 in Ear Wired Earphones with Mic(Spirit Lime),499.0,1490.0
33,boAt Rockerz 450 Bluetooth Wireless On Ear Headphone with Mic (Aqua Blue),1399.0,3990.0
34,boAt Airdopes 441 Pro Bluetooth Truly Wireless in Ear Earbuds with Mic (Active Black),2799.0,6990.0
35,boAt Rockerz 370 Bluetooth Wireless On Ear Headphones with Mic Gregarious Green,999.0,2499.0
36,boAt Bassheads 102 in Ear Wired Earphones with Mic (Mint Green),349.0,1290.0
37,boAt Bassheads 225 in Ear Wired Earphones with Mic(Red),499.0,999.0
38,boAt Rockerz 261 in Ear Wireless Earphones with mic(Jazzy Blue),999.0,4990.0
39,boAt Bassheads 242 in Ear Wired Earphones with Mic(Red),499.0,1490.0
40,boAt Bassheads 242 in Ear Wired Earphones with Mic(Orange),499.0,1490.0
41,"boAt Rockerz 255 Pro in-Ear Earphones with 10 Hours Battery, ASAP Charge, IPX5, Bluetooth V5.0 and Voice Assistant(Teal Green)",1299.0,3499.0
42,boAt Airdopes 131 Bluetooth Truly Wireless in Ear Earbuds with Mic (Midnight Blue),1490.0,2990.0
43,"boAt BassHeads 950v2 Wired Headphones with 40mm Audio Drivers, Soft Ear-Cushion, Lightweight Build, 3.5mm Jack and in-Line Microphone(Bold Blue)",899.0,1990.0
44,"boAt Rockerz 255 Pro in-Ear Earphones with 10 Hours Battery, ASAP Charge, IPX5, Bluetooth V5.0 and Voice Assistant(Raging Red)",1299.0,3499.0
45,boAt Bassheads 900 Wired On Ear Headphones with Mic (Pearl White),699.0,2490.0
46,boAt Bassheads 162 in Ear Wired Earphones with Mic(Jazzy Blue),399.0,1290.0
47,boAt Bassheads 225 in Ear Wired Earphones with Mic(Neon Lime),499.0,999.0
48,boAt Rockerz 330 Bluetooth Wireless in Ear Earphones with Mic Blazing Yellow,1399.0,3990.0
49,boAt Airdopes 621 Bluetooth Truly Wireless in Ear Earbuds with Mic (White Frost),2799.0,2990.0
50,boAt Rockerz 550 Wireless Bluetooth Over The Ear Headphones with Mic (Army Green),1899.0,4999.0
51,"(Renewed) boAt Rockerz 255 Pro+ in-Ear Earphones with 40 Hours Battery, ASAP Charge, IPX7, Bluetooth Version 5.0, 10mm Drivers and Voice Assistant(Navy Blue)",1299.0,1499.0
